post_id,source,target,tipo_interacao,data
1181543,10943,1181543,repost,20231113
1296984,738817,1296984,repost,20240112
535644,595100,535644,repost,20230724
114229,619677,114229,repost,20240209
2117467,22853,2117467,repost,20230915
521175,1687255,521175,repost,20231030
1037105,36572,1037105,repost,20240224
302868,7836,302868,repost,20231206
570228,441787,570228,repost,20230718
360255,526446,360255,repost,20240111
21585,2489,21585,repost,20231022
1321446,805904,1321446,repost,20231114
971301,429024,971301,repost,20240226
326339,5623,326339,repost,20240111
28596,433269,28596,repost,20240311
14983,215749,14983,repost,20231023
1752220,565568,1752220,repost,20240309
106563,7345,106563,repost,20231025
1686544,64376,1686544,repost,20230926
67165,14655,67165,repost,20240210
489444,184520,489444,repost,20240101
15290,151781,15290,repost,20240216
66553,27688,66553,repost,20231121
2090423,28011,2090423,repost,20240104
397795,48286,397795,repost,20231024
364294,364300,364294,repost,20240211
361400,155256,361400,repost,20230920
147216,1191,147216,repost,20230927
321005,47880,321005,repost,20231125
803435,47276,803435,repost,20231205
725957,23774,725957,repost,20240314
169610,575823,169610,repost,20231019
1221599,41431,1221599,repost,20231013
294832,270470,294832,repost,20231224
243149,140227,243149,repost,20240206
375045,290745,375045,repost,20231220
13362,83195,13362,repost,20231211
1175462,125,1175462,repost,20240222
192340,41431,192340,repost,20231129
106672,72007,106672,repost,20231006
52121,49165,52121,repost,20240116
18811,202149,18811,repost,20231019
581909,82900,581909,repost,20240214
200322,667950,200322,repost,20230830
651938,136998,651938,repost,20230808
143831,64322,143831,repost,20231012
1341601,1005140,1341601,repost,20240219
320724,6832,320724,repost,20240213
647261,45403,647261,repost,20230714
24621,571725,24621,repost,20230924
2070741,26710,2070741,repost,20240211
113632,518653,113632,repost,20240208
530870,41553,530870,repost,20230822
184474,96212,184474,repost,20240116
1062154,19898,1062154,repost,20231208
46095,460064,46095,repost,20231208
104133,2083553,104133,repost,20231212
1973,321727,1973,repost,20240103
1009006,39339,1009006,repost,20231201
892976,39370,892976,repost,20240308
1741906,31171,1741906,repost,20231016
449940,12369,449940,repost,20240122
793052,16834,793052,repost,20230819
123099,21280,123099,repost,20230506
939186,175660,939186,repost,20230622
50910,124954,50910,repost,20240101
604020,189895,604020,repost,20231207
411451,61620,411451,repost,20240226
161191,402,161191,repost,20231215
14060,44678,14060,repost,20231222
213117,264317,213117,repost,20230914
1024589,1107002,1024589,repost,20231129
444612,70585,444612,repost,20240215
419513,42373,419513,repost,20230724
70755,119138,70755,repost,20231018
78393,26757,78393,repost,20231020
1780683,163381,1780683,repost,20231225
188488,33754,188488,repost,20230913
527143,328413,527143,repost,20240221
617794,118505,617794,repost,20230727
145933,37712,145933,repost,20230904
671755,43608,671755,repost,20230913
118789,118793,118789,repost,20240220
1448055,67641,1448055,repost,20240208
868605,226741,868605,repost,20230919
1517514,399,1517514,repost,20240302
846570,270454,846570,repost,20231205
574751,9332,574751,repost,20230815
14587,91319,14587,repost,20230925
349194,1544,349194,repost,20240211
2375631,72,2375631,repost,20240302
530567,13,530567,repost,20240112
98445,59068,98445,repost,20231011
131886,34218,131886,repost,20231005
404152,474685,404152,repost,20230530
16784,1048032,16784,repost,20240215
15849,30506,15849,repost,20231012
34028,3057,34028,repost,20230629
1009107,596192,1009107,repost,20230809
2245082,50170,2245082,repost,20240206
1365377,69348,1365377,repost,20231222
